Script started on 2022-04-01 01:28:03-0400
(base) jchen706@boson:/data/jchen/rodi/rodinia/cuda/heartwall$ sh rcpu.sh 
WG size of kernel = 256 
8 concurrent threads are supported.
 common no frames,  104 
 mask_cov_rows: 131 
blocks  51 
frame progress: total: 51  execute per cpu: 7
total: 51  execute per cpu: 7
bx, 0 tx 0, largest_value, 0.000 , 0 
 bx, 0 tx 1, largest_value, 0.000 , 0 
 bx, 0 tx 2, largest_value, 0.000 , 0 
 bx, 0 tx 3, largest_value, 0.000 , 0 
 bx, 0 tx 4, largest_value, 0.000 , 0 
 bx, 0 tx 5, largest_value, 0.000 , 0 
 bx, 0 tx 6, largest_value, 0.000 , 0 
 bx, 0 tx 7, largest_value, 0.000 , 0 
 bx, 0 tx 8, largest_value, 0.000 , 0 
 bx, 0 tx 9, largest_value, 0.000 , 0 
 bx, 0 tx 10, largest_value, 0.000 , 0 
 bx, 0 tx 11, largest_value, 0.000 , 0 
 bx, 0 tx 12, largest_value, 0.000 , 0 
 bx, 0 tx 13, largest_value, 0.000 , 0 
 bx, 0 tx 14, largest_value, 0.000 , 0 
 bx, 0 tx 15, largest_value, 0.000 , 0 
 bx, 0 tx 16, largest_value, 0.000 , 0 
 bx, 28 tx 0, largest_value, 0.000 , 0 
 bx, 28 tx 1, largest_value, 0.000 , 0 
 bx, 28 tx 2, largest_value, 0.000 , 0 
 bx, 28 tx 3, largest_value, 0.000 , 0 
 bx, 28 tx 4, largest_value, 0.000 , 0 
 bx, 28 tx 5, largest_value, 0.000 , 0 
 bx, 28 tx 6, largest_value, 0.000 , 0 
 bx, 28 tx 7, largest_value, 0.000 , 0 
 bx, 28 tx 8, largest_value, 0.000 , 0 
 bx, 28 tx 9, largest_value, 0.000 , 0 
 bx, 28 tx 10, largest_value, 0.000 , 0 
 bx, 28 tx 11, largest_value, 0.000 , 0 
 bx, 28 tx 12, largest_value, 0.000 , 0 
 bx, 28 tx 13, largest_value, 0.000 , 0 
 bx, 28 tx 14, largest_value, 0.000 , 0 
 bx, 28 tx 15, largest_value, 0.000 , 0 
 bx, 28 tx 16, largest_value, 0.000 , 0 
 bx, 28 tx 17, largest_value, 0.000 , 0 
 bx, 28 tx 18, largest_value, 0.000 , 0 
 bx, 28 tx 19, largest_value, 0.000 , 0 
 bx, 28 tx 20, largest_value, 0.000 , 0 
 bx, 28 tx 21, largest_value, 0.000 , 0 
 bx, 28 tx 22, largest_value, 0.000 , 0 
 bx, 28 tx 23, largest_value, 0.000 , 0 
 bx, 28 tx 24, largest_value, 0.000 , 0 
 bx, 28 tx 25, largest_value, 0.000 , 0 
 bx, 28 tx 26, largest_value, 0.000 , 0 
 bx, 28 tx 27, largest_value, 0.000 , 0 
 bx, 28 tx 28, largest_value, 0.000 , 0 
 bx, 28 tx 29, largest_value, 0.000 , 0 
 bx, 28 tx 30, largest_value, 0.000 , 0 
 bx, 28 tx 31, largest_value, 0.000 , 0 
 bx, 28 tx 32, largest_value, 0.000 , 0 
 bx, 28 tx 33, largest_value, 0.000 , 0 
 bx, 28 tx 34, largest_value, 0.000 , 0 
 bx, 28 tx 35, largest_value, 0.000 , 0 
 bx, 28 tx 36, largest_value, 0.000 , 0 
 bx, 28 tx 37, largest_value, 0.000 , 0 
 bx, 28 tx 38, largest_value, 0.000 , 0 
 bx, 28 tx 39, largest_value, 0.000 , 0 
 bx, 28 tx 40, largest_value, 0.000 , 0 
 bx, 28 tx 41, largest_value, 0.000 , 0 
 bx, 28 tx 42, largest_value, 0.000 , 0 
 bx, 28 tx 43, largest_value, 0.000 , 0 
 bx, 28 tx 44, largest_value, 0.000 , 0 
 bx, 28 tx 45, largest_value, 0.000 , 0 
 bx, 28 tx 46, largest_value, 0.000 , 0 
 bx, 28 tx 47, largest_value, 0.000 , 0 
 bx, 28 tx 48, largest_value, 0.000 , 0 
 bx, 28 tx 49, largest_value, 0.000 , 0 
 bx, 28 tx 50, largest_value, 0.000 , 0 
 bx, 21 tx 0, largest_value, 0.000 , 0 
 bx, 28 tx 51, largest_value, 0.000 , 0 
 bx, 21 tx 1, largest_value, 0.000 , 0 
 bx, 28 tx 52, largest_value, 0.000 , 0 
 bx, 21 tx 2, largest_value, 0.000 , 0 
 bx, 28 tx 53, largest_value, 0.000 , 0 
 bx, 21 tx 3, largest_value, 0.000 , 0 
 bx, 28 tx 54, largest_value, 0.000 , 0 
 bx, 21 tx 4, largest_value, 0.000 , 0 
 bx, 28 tx 55, largest_value, 0.000 , 0 
 bx, 28 tx 56, largest_value, 0.000 , 0 
 bx, 28 tx 57, largest_value, 0.000 , 0 
 bx, 28 tx 58, largest_value, 0.000 , 0 
 bx, 28 tx 59, largest_value, 0.000 , 0 
 bx, 28 tx 60, largest_value, inf , 7920 
 bx, 28 tx 61, largest_value, inf , 8051 
 bx, 28 tx 62, largest_value, inf , 8182 
 bx, 28 tx 63, largest_value, inf , 8313 
 bx, 28 tx 64, largest_value, inf , 8444 
 bx, 28 tx 65, largest_value, inf , 8575 
 bx, 28 tx 66, largest_value, inf , 8706 
 bx, 0 tx 17, largest_value, 0.000 , 0 
 bx, 0 tx 18, largest_value, 0.000 , 0 
 bx, 21 tx 5, largest_value, 0.000 , 0 
 bx, 21 tx 6, largest_value, 0.000 , 0 
 bx, 21 tx 7, largest_value, 0.000 , 0 
 bx, 21 tx 8, largest_value, 0.000 , 0 
 bx, 28 tx 67, largest_value, inf , 8837 
 bx, 28 tx 68, largest_value, inf , 8968 
 bx, 28 tx 69, largest_value, inf , 9099 
 bx, 28 tx 70, largest_value, 0.000 , 0 
 bx, 0 tx 19, largest_value, 0.000 , 0 
 bx, 21 tx 9, largest_value, 0.000 , 0 
 bx, 21 tx 10, largest_value, 0.000 , 0 
 bx, 28 tx 71, largest_value, 0.000 , 0 
 bx, 7 tx 0, largest_value, 0.000 , 0 
 bx, 7 tx 1, largest_value, 0.000 , 0 
 bx, 7 tx 2, largest_value, 0.000 , 0 
 bx, 7 tx 3, largest_value, 0.000 , 0 
 bx, 28 tx 72, largest_value, 0.000 , 0 
 bx, 21 tx 11, largest_value, 0.000 , 0 
 bx, 7 tx 4, largest_value, 0.000 , 0 
 bx, 7 tx 5, largest_value, 0.000 , 0 
 bx, 7 tx 6, largest_value, 0.000 , 0 
 bx, 7 tx 7, largest_value, 0.000 , 0 
 bx, 7 tx 8, largest_value, 0.000 , 0 
 bx, 7 tx 9, largest_value, 0.000 , 0 
 bx, 7 tx 10, largest_value, 0.000 , 0 
 bx, 7 tx 11, largest_value, 0.000 , 0 
 bx, 7 tx 12, largest_value, 0.000 , 0 
 bx, 7 tx 13, largest_value, 0.000 , 0 
 bx, 7 tx 14, largest_value, 0.000 , 0 
 bx, 7 tx 15, largest_value, 0.000 , 0 
 bx, 7 tx 16, largest_value, 0.000 , 0 
 bx, 7 tx 17, largest_value, 0.000 , 0 
 bx, 7 tx 18, largest_value, 0.000 , 0 
 bx, 7 tx 19, largest_value, 0.000 , 0 
 bx, 7 tx 20, largest_value, 0.000 , 0 
 bx, 7 tx 21, largest_value, 0.000 , 0 
 bx, 7 tx 22, largest_value, 0.000 , 0 
 bx, 7 tx 23, largest_value, 0.000 , 0 
 bx, 7 tx 24, largest_value, 0.000 , 0 
 bx, 7 tx 25, largest_value, 0.000 , 0 
 bx, 7 tx 26, largest_value, 0.000 , 0 
 bx, 7 tx 27, largest_value, 0.000 , 0 
 bx, 7 tx 28, largest_value, 0.000 , 0 
 bx, 7 tx 29, largest_value, 0.000 , 0 
 bx, 7 tx 30, largest_value, 0.000 , 0 
 bx, 7 tx 31, largest_value, 0.000 , 0 
 bx, 7 tx 32, largest_value, 0.000 , 0 
 bx, 7 tx 33, largest_value, 0.000 , 0 
 bx, 7 tx 34, largest_value, 0.000 , 0 
 bx, 7 tx 35, largest_value, 0.000 , 0 
 bx, 7 tx 36, largest_value, 0.000 , 0 
 bx, 7 tx 37, largest_value, 0.000 , 0 
 bx, 7 tx 38, largest_value, 0.000 , 0 
 bx, 7 tx 39, largest_value, 0.000 , 0 
 bx, 7 tx 40, largest_value, 0.000 , 0 
 bx, 7 tx 41, largest_value, 0.000 , 0 
 bx, 7 tx 42, largest_value, 0.000 , 0 
 bx, 7 tx 43, largest_value, 0.000 , 0 
 bx, 7 tx 44, largest_value, 0.000 , 0 
 bx, 7 tx 45, largest_value, 0.000 , 0 
 bx, 7 tx 46, largest_value, 0.000 , 0 
 bx, 7 tx 47, largest_value, 0.000 , 0 
 bx, 7 tx 48, largest_value, 0.000 , 0 
 bx, 7 tx 49, largest_value, 0.000 , 0 
 bx, 7 tx 50, largest_value, 0.000 , 0 
 bx, 21 tx 12, largest_value, 0.000 , 0 
 bx, 28 tx 73, largest_value, 0.000 , 0 
 bx, 21 tx 13, largest_value, 0.000 , 0 
 bx, 28 tx 74, largest_value, 0.000 , 0 
 bx, 21 tx 14, largest_value, 0.000 , 0 
 bx, 14 tx 0, largest_value, 0.000 , 0 
 bx, 28 tx 75, largest_value, 0.000 , 0 
 bx, 28 tx 76, largest_value, 0.000 , 0 
 bx, 28 tx 77, largest_value, 0.000 , 0 
 bx, 28 tx 78, largest_value, 0.000 , 0 
 bx, 28 tx 79, largest_value, 0.000 , 0 
 bx, 28 tx 80, largest_value, 0.000 , 0 
 bx, 28 tx 81, largest_value, 0.000 , 0 
 bx, 28 tx 82, largest_value, 0.000 , 0 
 bx, 28 tx 83, largest_value, 0.000 , 0 
 bx, 28 tx 84, largest_value, 0.000 , 0 
 bx, 28 tx 85, largest_value, 0.000 , 0 
 bx, 28 tx 86, largest_value, 0.000 , 0 
 bx, 28 tx 87, largest_value, 0.000 , 0 
 bx, 28 tx 88, largest_value, 0.000 , 0 
 bx, 28 tx 89, largest_value, 0.000 , 0 
 bx, 28 tx 90, largest_value, 0.000 , 0 
 bx, 28 tx 91, largest_value, 0.000 , 0 
 bx, 28 tx 92, largest_value, 0.000 , 0 
 bx, 28 tx 93, largest_value, 0.000 , 0 
 bx, 28 tx 94, largest_value, 0.000 , 0 
 bx, 28 tx 95, largest_value, 0.000 , 0 
 bx, 28 tx 96, largest_value, 0.000 , 0 
 bx, 28 tx 97, largest_value, 0.000 , 0 
 bx, 28 tx 98, largest_value, 0.000 , 0 
 bx, 28 tx 99, largest_value, 0.000 , 0 
 bx, 28 tx 100, largest_value, 0.000 , 0 
 bx, 28 tx 101, largest_value, 0.000 , 0 
 bx, 28 tx 102, largest_value, 0.000 , 0 
 bx, 28 tx 103, largest_value, 0.000 , 0 
 bx, 28 tx 104, largest_value, 0.000 , 0 
 bx, 28 tx 105, largest_value, 0.000 , 0 
 bx, 28 tx 106, largest_value, 0.000 , 0 
 bx, 28 tx 107, largest_value, 0.000 , 0 
 bx, 28 tx 108, largest_value, 0.000 , 0 
 bx, 28 tx 109, largest_value, 0.000 , 0 
 bx, 28 tx 110, largest_value, 0.000 , 0 
 bx, 28 tx 111, largest_value, 0.000 , 0 
 bx, 28 tx 112, largest_value, 0.000 , 0 
 bx, 28 tx 113, largest_value, 0.000 , 0 
 bx, 28 tx 114, largest_value, 0.000 , 0 
 bx, 28 tx 115, largest_value, 0.000 , 0 
 bx, 28 tx 116, largest_value, 0.000 , 0 
 bx, 28 tx 117, largest_value, 0.000 , 0 
 bx, 28 tx 118, largest_value, 0.000 , 0 
 bx, 28 tx 119, largest_value, 0.000 , 0 
 bx, 28 tx 120, largest_value, 0.000 , 0 
 bx, 28 tx 121, largest_value, 0.000 , 0 
 bx, 28 tx 122, largest_value, 0.000 , 0 
 bx, 28 tx 123, largest_value, 0.000 , 0 
 bx, 28 tx 124, largest_value, 0.000 , 0 
 bx, 28 tx 125, largest_value, 0.000 , 0 
 bx, 28 tx 126, largest_value, 0.000 , 0 
 bx, 28 tx 127, largest_value, 0.000 , 0 
 bx, 28 tx 128, largest_value, 0.000 , 0 
 bx, 28 tx 129, largest_value, 0.000 , 0 
 bx, 28 tx 130, largest_value, 0.000 , 0 
 bx, 7 tx 51, largest_value, 0.000 , 0 
 bx, 21 tx 15, largest_value, 0.000 , 0 
 bx, 14 tx 1, largest_value, 0.000 , 0 
 bx, 0 tx 20, largest_value, 0.000 , 0 
 bx, 0 tx 21, largest_value, 0.000 , 0 
 bx, 0 tx 22, largest_value, 0.000 , 0 
 bx, 0 tx 23, largest_value, 0.000 , 0 
 bx, 0 tx 24, largest_value, 0.000 , 0 
 bx, 0 tx 25, largest_value, 0.000 , 0 
 bx, 0 tx 26, largest_value, 0.000 , 0 
 bx, 0 tx 27, largest_value, 0.000 , 0 
 bx, 0 tx 28, largest_value, 0.000 , 0 
 bx, 0 tx 29, largest_value, 0.000 , 0 
 bx, 0 tx 30, largest_value, 0.000 , 0 
 bx, 0 tx 31, largest_value, 0.000 , 0 
 bx, 0 tx 32, largest_value, 0.000 , 0 
 bx, 0 tx 33, largest_value, 0.000 , 0 
 bx, 0 tx 34, largest_value, 0.000 , 0 
 bx, 0 tx 35, largest_value, 0.000 , 0 
 bx, 0 tx 36, largest_value, 0.000 , 0 
 bx, 0 tx 37, largest_value, 0.000 , 0 
 bx, 0 tx 38, largest_value, 0.000 , 0 
 bx, 0 tx 39, largest_value, 0.000 , 0 
 bx, 0 tx 40, largest_value, 0.000 , 0 
 bx, 0 tx 41, largest_value, 0.000 , 0 
 bx, 0 tx 42, largest_value, 0.000 , 0 
 bx, 0 tx 43, largest_value, 0.000 , 0 
 bx, 0 tx 44, largest_value, 0.000 , 0 
 bx, 0 tx 45, largest_value, 0.000 , 0 
 bx, 0 tx 46, largest_value, 0.000 , 0 
 bx, 0 tx 47, largest_value, 0.000 , 0 
 bx, 0 tx 48, largest_value, 0.000 , 0 
 bx, 0 tx 49, largest_value, 0.000 , 0 
 bx, 0 tx 50, largest_value, 0.000 , 0 
 bx, 0 tx 51, largest_value, 0.000 , 0 
 bx, 0 tx 52, largest_value, 0.000 , 0 
 bx, 0 tx 53, largest_value, 0.000 , 0 
 bx, 0 tx 54, largest_value, 0.000 , 0 
 bx, 0 tx 55, largest_value, 0.000 , 0 
 bx, 0 tx 56, largest_value, 0.000 , 0 
 bx, 0 tx 57, largest_value, 0.000 , 0 
 bx, 0 tx 58, largest_value, 0.000 , 0 
 bx, 0 tx 59, largest_value, 0.000 , 0 
 bx, 0 tx 60, largest_value, inf , 7920 
 bx, 0 tx 61, largest_value, inf , 8051 
 bx, 0 tx 62, largest_value, inf , 8182 
 bx, 0 tx 63, largest_value, inf , 8313 
 bx, 0 tx 64, largest_value, inf , 8444 
 bx, 0 tx 65, largest_value, inf , 8575 
 bx, 0 tx 66, largest_value, inf , 8706 
 bx, 0 tx 67, largest_value, inf , 8837 
 bx, 0 tx 68, largest_value, inf , 8968 
 bx, 0 tx 69, largest_value, inf , 9099 
 bx, 0 tx 70, largest_value, 0.000 , 0 
 bx, 0 tx 71, largest_value, 0.000 , 0 
 bx, 0 tx 72, largest_value, 0.000 , 0 
 bx, 0 tx 73, largest_value, 0.000 , 0 
 bx, 0 tx 74, largest_value, 0.000 , 0 
 bx, 0 tx 75, largest_value, 0.000 , 0 
 bx, 0 tx 76, largest_value, 0.000 , 0 
 bx, 0 tx 77, largest_value, 0.000 , 0 
 bx, 0 tx 78, largest_value, 0.000 , 0 
 bx, 0 tx 79, largest_value, 0.000 , 0 
 bx, 0 tx 80, largest_value, 0.000 , 0 
 bx, 0 tx 81, largest_value, 0.000 , 0 
 bx, 0 tx 82, largest_value, 0.000 , 0 
 bx, 0 tx 83, largest_value, 0.000 , 0 
 bx, 0 tx 84, largest_value, 0.000 , 0 
 bx, 0 tx 85, largest_value, 0.000 , 0 
 bx, 0 tx 86, largest_value, 0.000 , 0 
 bx, 0 tx 87, largest_value, 0.000 , 0 
 bx, 0 tx 88, largest_value, 0.000 , 0 
 bx, 0 tx 89, largest_value, 0.000 , 0 
 bx, 0 tx 90, largest_value, 0.000 , 0 
 bx, 0 tx 91, largest_value, 0.000 , 0 
 bx, 0 tx 92, largest_value, 0.000 , 0 
 bx, 0 tx 93, largest_value, 0.000 , 0 
 bx, 0 tx 94, largest_value, 0.000 , 0 
 bx, 0 tx 95, largest_value, 0.000 , 0 
 bx, 0 tx 96, largest_value, 0.000 , 0 
 bx, 0 tx 97, largest_value, 0.000 , 0 
 bx, 0 tx 98, largest_value, 0.000 , 0 
 bx, 0 tx 99, largest_value, 0.000 , 0 
 bx, 0 tx 100, largest_value, 0.000 , 0 
 bx, 0 tx 101, largest_value, 0.000 , 0 
 bx, 0 tx 102, largest_value, 0.000 , 0 
 bx, 0 tx 103, largest_value, 0.000 , 0 
 bx, 0 tx 104, largest_value, 0.000 , 0 
 bx, 0 tx 105, largest_value, 0.000 , 0 
 bx, 0 tx 106, largest_value, 0.000 , 0 
 bx, 0 tx 107, largest_value, 0.000 , 0 
 bx, 0 tx 108, largest_value, 0.000 , 0 
 bx, 0 tx 109, largest_value, 0.000 , 0 
 bx, 0 tx 110, largest_value, 0.000 , 0 
 bx, 0 tx 111, largest_value, 0.000 , 0 
 bx, 0 tx 112, largest_value, 0.000 , 0 
 bx, 0 tx 113, largest_value, 0.000 , 0 
 bx, 0 tx 114, largest_value, 0.000 , 0 
 bx, 0 tx 115, largest_value, 0.000 , 0 
 bx, 0 tx 116, largest_value, 0.000 , 0 
 bx, 0 tx 117, largest_value, 0.000 , 0 
 bx, 0 tx 118, largest_value, 0.000 , 0 
 bx, 0 tx 119, largest_value, 0.000 , 0 
 bx, 0 tx 120, largest_value, 0.000 , 0 
 bx, 0 tx 121, largest_value, 0.000 , 0 
 bx, 0 tx 122, largest_value, 0.000 , 0 
 bx, 0 tx 123, largest_value, 0.000 , 0 
 bx, 0 tx 124, largest_value, 0.000 , 0 
 bx, 0 tx 125, largest_value, 0.000 , 0 
 bx, 0 tx 126, largest_value, 0.000 , 0 
 bx, 0 tx 127, largest_value, 0.000 , 0 
 bx, 0 tx 128, largest_value, 0.000 , 0 
 bx, 0 tx 129, largest_value, 0.000 , 0 
